State,abbr,avgrent
Alabama,AL,782
Alaska,AK,1343
Arizona,AZ,1337
Arkansas,AR,807
California,CA,2316
Colorado,CO,1462
Connecticut,CT,1589
Delaware,DE,1119
Florida,FL,1657
Georgia,GA,1058
Hawaii,HI,2702
Idaho,ID,790
Illinois,IL,1428
Indiana,IN,831
Iowa,IA,831
Kansas,KS,888
Kentucky,KY,829
Louisiana,LA,1065
Maine,ME,1289
Maryland,MD,1455
Massachusetts,MA,2170
Michigan,MI,987
Minnesota,MN,1180
Mississippi,MS,771
Missouri,MO,933
Montana,MT,914
Nebraska,NE,895
Nevada,NV,1005
New Hampshire,NH,1289
New Jersey,NJ,1802
New Mexico,NM,918
New York,NY,2657
North Carolina,NC,966
North Dakota,ND,1113
Ohio,OH,930
Oklahoma,OK,818
Oregon,OR,1369
Pennsylvania,PA,1233
Rhode Island,RI,1453
South Carolina,SC,1015
South Dakota,SD,819
Tennessee,TN,973
Texas,TX,1204
Utah,UT,1033
Vermont,VT,1414
Virginia,VA,1325
Washington,WA,1501
West Virginia,WV,891
Wisconsin,WI,1011
Wyoming,WY,873
