id,county,state,rate,edu,med_inc
01001,Autauga County, AL,0.051,0.665,56580
01003,Baldwin County, AL,0.049,0.712,52387
01005,Barbour County, AL,0.086,0.655,31433
01007,Bibb County, AL,0.062,0.579,40767
01009,Blount County, AL,0.051,0.666,50487
01011,Bullock County, AL,0.071,0.667,28251
01013,Butler County, AL,0.067,0.623,33868
01015,Calhoun County, AL,0.061,0.682,42091
01017,Chambers County, AL,0.05,0.616,35560
01019,Cherokee County, AL,0.05,0.636,39144
01021,Chilton County, AL,0.052,0.608,42767
01023,Choctaw County, AL,0.079,0.632,35089
01025,Clarke County, AL,0.111,0.561,37317
01027,Clay County, AL,0.059,0.637,38908
01029,Cleburne County, AL,0.055,0.617,42136
01031,Coffee County, AL,0.056,0.705,46858
01033,Colbert County, AL,0.065,0.655,41171
01035,Conecuh County, AL,0.077,0.555,29981
01037,Coosa County, AL,0.057,0.624,36078
01039,Covington County, AL,0.067,0.664,36355
01041,Crenshaw County, AL,0.057,0.62,36759
01043,Cullman County, AL,0.048,0.653,39290
01045,Dale County, AL,0.056,0.678,45294
01047,Dallas County, AL,0.095,0.654,29682
01049,DeKalb County, AL,0.057,0.648,37305
01051,Elmore County, AL,0.047,0.646,53548
01053,Escambia County, AL,0.063,0.579,36840
01055,Etowah County, AL,0.057,0.681,42145
01057,Fayette County, AL,0.066,0.612,37085
01059,Franklin County, AL,0.055,0.625,38535
01061,Geneva County, AL,0.054,0.629,36289
01063,Greene County, AL,0.093,0.611,25398
01065,Hale County, AL,0.076,0.571,35470
01067,Henry County, AL,0.063,0.645,42501
01069,Houston County, AL,0.056,0.669,43568
01071,Jackson County, AL,0.059,0.602,40201
01073,Jefferson County, AL,0.055,0.735,48415
01075,Lamar County, AL,0.052,0.629,36520
01077,Lauderdale County, AL,0.06,0.659,43008
01079,Lawrence County, AL,0.064,0.594,41771
01081,Lee County, AL,0.049,0.745,46442
01083,Limestone County, AL,0.05,0.679,55060
01085,Lowndes County, AL,0.103,0.647,31117
01087,Macon County, AL,0.072,0.691,29522
01089,Madison County, AL,0.049,0.787,59117
01091,Marengo County, AL,0.069,0.58,35389
01093,Marion County, AL,0.061,0.655,34977
01095,Marshall County, AL,0.051,0.681,40599
01097,Mobile County, AL,0.065,0.672,42530
01099,Monroe County, AL,0.086,0.553,35163
01101,Montgomery County, AL,0.056,0.74,42666
01103,Morgan County, AL,0.052,0.69,47234
01105,Perry County, AL,0.109,0.614,26218
01107,Pickens County, AL,0.067,0.578,33160
01109,Pike County, AL,0.064,0.661,34442
01111,Randolph County, AL,0.057,0.644,37333
01113,Russell County, AL,0.053,0.686,36124
01115,St. Clair County, AL,0.05,0.645,53558
01117,Shelby County, AL,0.042,0.786,70879
01119,Sumter County, AL,0.073,0.595,25931
01121,Talladega County, AL,0.064,0.637,37911
01123,Tallapoosa County, AL,0.051,0.656,39051
01125,Tuscaloosa County, AL,0.055,0.695,47868
01127,Walker County, AL,0.072,0.635,37305
01129,Washington County, AL,0.083,0.539,42658
01131,Wilcox County, AL,0.139,0.587,23014
01133,Winston County, AL,0.07,0.663,36497
02013,Aleutians East Borough, AK,0.019,0.606,57015
02016,Aleutians West Census Area, AK,0.022,0.63,80695
02020,Anchorage Municipality, AK,0.05,0.759,77791
02050,Bethel Census Area, AK,0.141,0.564,44849
02060,Bristol Bay Borough, AK,0.056,0.693,66373
02068,Denali Borough, AK,0.032,0.761,73000
02070,Dillingham Census Area, AK,0.081,0.619,50753
02090,Fairbanks North Star Borough, AK,0.049,0.766,70881
02100,Haines Borough, AK,0.059,0.723,57876
02105,Hoonah-Angoon Census Area, AK,0.073,0.687,53726
02110,Juneau City and Borough, AK,0.036,0.789,82892
02122,Kenai Peninsula Borough, AK,0.069,0.669,62025
02130,Ketchikan Gateway Borough, AK,0.044,0.672,65314
02150,Kodiak Island Borough, AK,0.048,0.727,67515
02158,Kusilvak Census Area, AK,0.217,0.51,33511
02164,Lake and Peninsula Borough, AK,0.092,0.571,42120
02170,Matanuska-Susitna Borough, AK,0.074,0.684,76601
02180,Nome Census Area, AK,0.136,0.587,52952
02185,North Slope Borough, AK,0.069,0.632,70834
02188,Northwest Arctic Borough, AK,0.165,0.564,53774
02195,Petersburg Census Area, AK,0.057,0.688,63098
02198,Prince of Wales-Hyder Census Area, AK,0.094,0.591,45305
02220,Sitka City and Borough, AK,0.03,0.779,68472
02230,Skagway Municipality, AK,0.03,0.71,65878
02240,Southeast Fairbanks Census Area, AK,0.087,0.668,60203
02261,Valdez-Cordova Census Area, AK,0.054,0.728,70101
02275,Wrangell City and Borough, AK,0.054,0.644,54500
02282,Yakutat City and Borough, AK,0.058,0.553,53795
02290,Yukon-Koyukuk Census Area, AK,0.164,0.599,37755
04001,Apache County, AZ,0.118,0.666,31072
04003,Cochise County, AZ,0.065,0.766,43451
04005,Coconino County, AZ,0.064,0.787,51955
04007,Gila County, AZ,0.076,0.7,41346
04009,Graham County, AZ,0.073,0.671,44169
04011,Greenlee County, AZ,0.077,0.625,58854
04012,La Paz County, AZ,0.066,0.634,34835
04013,Maricopa County, AZ,0.049,0.77,56017
04015,Mohave County, AZ,0.07,0.643,40360
04017,Navajo County, AZ,0.085,0.705,37658
04019,Pima County, AZ,0.054,0.772,47107
04021,Pinal County, AZ,0.059,0.699,50888
04023,Santa Cruz County, AZ,0.13,0.747,34893
04025,Yavapai County, AZ,0.05,0.744,47220
04027,Yuma County, AZ,0.244,0.75,40426
05001,Arkansas County, AR,0.032,0.575,41179
05003,Ashley County, AR,0.063,0.586,39871
05005,Baxter County, AR,0.041,0.644,36902
