id,date,year,month,state,type,source,mwh
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Coal,177287111
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Petroleum,18111843
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Natural Gas,42388663
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Other Gases,718442
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Nuclear,68707077
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,18852048
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Wind,389250
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,6500
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3191212
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Geothermal,1229325
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Other Biomass,1208647
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Pumped Storage,-588626
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Other,991669
0,01-2001,2001,1,US-TOTAL,Total Electric Power Industry,Total,332493160
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Coal,149735484
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Petroleum,10341503
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Natural Gas,37966927
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Other Gases,675659
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Nuclear,61272407
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,17472889
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Wind,431242
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,12568
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2697151
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Geothermal,1073044
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Other Biomass,1096331
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Pumped Storage,-706956
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Other,871949
1,02-2001,2001,2,US-TOTAL,Total Electric Power Industry,Total,282940198
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Coal,155269011
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Petroleum,11733006
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Natural Gas,44364414
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Other Gases,769181
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Nuclear,62140712
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,20477189
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Wind,532120
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,31498
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2852540
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Geothermal,1190023
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Other Biomass,1189040
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Pumped Storage,-773345
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Other,931155
2,03-2001,2001,3,US-TOTAL,Total Electric Power Industry,Total,300706544
